Programa Jóvenes Talentos,Computadores y equipos,Guayaquil,0,N/A
Ingeniero en Sistemas,"",Cuenca,0,N/A
Médico veterinario,"",Guayaquil,0,N/A
Oficial de Cumplimiento,"",Latacunga,0,N/A
Ayudante de Instalación mecánica,COHECO S.A,Cuenca,0,N/A
Ingeniero en sistemas con experiencia en sistemas de seguridad,"",Quito,0,N/A
Cajero/a,Cooperativa Jep,Machala,0,N/A
Diseñador/a Community,"",Guayaquil,0,N/A
Programador Senior en .NET Core y Angular,Agrosoft S.A.,Guayaquil,0,N/A
Asesor Comercial,"",Guayaquil,0,N/A
Operador Call Center y Atención al cliente,Techsoft ,Quito,1,N/A
"Supervisor y Operador, de Callcenter y Servicio al Cliente",Techsoft ,Quito,1,N/A
Vendedor insumos textiles,Etiquetex S.A.,Ambato,1,N/A
Pasante de Diseño Gráfico,"",Quito,1,N/A
Vendedor/a ( fijo o por comisión),Cleantech,Quito,1,N/A
asesor comercial,Flexofama Cia. Ltda.,Quito,1,N/A
Consultor,IDIOMFA CIA LTDA,Cuenca,1,N/A
Asesor Comercial,PEGATANKE,Cuenca,1,N/A
Vendedor comercial electrodomésticos,Almacén Silvanita,Rumiñahui,1,N/A
Ejecutiva comercial,"MEDICPOINT RESONANCIA ESPECIALIZADA ,CIA,LTDA",Guayaquil,1,N/A
Ejecutivo/a comercial,Techsoft ,Quito,1,N/A
Pasante en economia y finanzas,COMPAÑIA DE TRANSPORTE DE CARGA PESADA TRANSELREY,Quito,1,N/A
tecnico mecanico,OXIGENOS DEL GUAYAS OXIGUAYAS S.A.,Guayaquil,1,N/A
Chofer Vendedor,OXIGENOS DEL GUAYAS OXIGUAYAS S.A.,Guayaquil,1,N/A
Oficial de Negocios,"",Quito,1,N/A
Auditor de campo / Encuestador,"",Portoviejo,1,N/A
Oficial de Negocios,Cooperativa Jep,Gualaceo,1,N/A
Pasante administrativo/a,ECUA CONSORCIO CONSORCIODELECUADOR S.A.,Quito,1,N/A
Technical Support Agent,GuruSoft,Guayaquil,1,N/A
Desarrollador Asp.Net,GuruSoft,Guayaquil,1,N/A
"Laboratorista o Bioquímico Clínico, con experiencia","",Guayaquil,1,N/A
Matricero/a,"",Guayaquil,1,N/A
Recaudador,Estudio Jurídico Romero D & Asociados S.A.,Guayaquil,1,N/A
Bodeguero,ASESORCAPT,Ambato,1,N/A
Ingeniero automotriz o técnico automotriz,Bombastic S.A.,Quito,1,N/A
Asesor Comercial,Edificar,Quito,1,N/A
Asesor de ventas de campo,Talent Hunter,Machala,1,N/A
Administrador de Tienda,"",Machala,1,N/A
Administrador de Tienda,"",Huaquillas,1,N/A
Ejecutivo de Servicio al Cliente,Cooperativa Jep,Cuenca,1,N/A
Asesor de ventas,"",Quevedo,1,N/A
Oficial de Negocios,Cooperativa Jep,Cuenca,1,N/A
Operador de Equipo Industrial,"",Huaquillas,1,N/A
Oficial de Negocios,"",Guayaquil,1,N/A
Auxiliar de Trade Marketing Guayaquil,Italimentos Cía. Ltda.,Guayaquil,1,N/A
Cajero,"",Portoviejo,1,N/A
Verificador de ATM,Cooperativa Jep,Cuenca,1,N/A
Laboratorista de calidad,Italimentos Cía. Ltda.,Cuenca,1,N/A
Operador de Equipo Industrial,"",Machala,1,N/A
Mensajero,Cooperativa Jep,Cuenca,1,N/A
Coordinador de Investigación y Desarrollo. Empaques,Italimentos Cía. Ltda.,Cuenca,1,N/A
Ing. CPA. Asistente contable con experiencia,"",Quito,1,N/A
Administrador de Tienda,"",Babahoyo,1,N/A
Lic. en laboratorio Clínico (Bioanalísta).,"",Quito,1,N/A
Oficial de Negocios,"",Guayaquil,1,N/A
Cajero Delicatessen Italdeli,Italimentos Cía. Ltda.,Cuenca,1,N/A
Almacen Ferretero,"",Guayaquil,1,N/A
Vendedora,Optiglass,Guayaquil,1,N/A
Asesores comerciales,TOPCABLE S.A.,Manta,1,N/A
Cajero,"",Manta,1,N/A
Técnico de Mantenimiento,Italimentos Cía. Ltda.,Cuenca,1,N/A
Asistente Administrativo con disponibilidad de tiempo completo horarios rotativos,"",Quito,1,N/A
Almacen Ferretero,"",Guayaquil,1,N/A
Ingenier@ en Sistemas TICS,"",Latacunga,1,N/A
Asistente Contable con experiencia en servicio al cliente /Quito/,BADENT,Quito,1,N/A
Asesor de ventas telefónico con experiencia,SCALA PERU S.A.C,Quito,1,N/A
Contador sénior,Biz Latin Hub Ecuador,Quito,1,N/A
"Desarrollador Senior de Software .Net , PHP y Javascript",Data360,Quito,1,N/A
Cajero,"",Quevedo,1,N/A
Coordinador de Talento Humano,Comlasa,Quito,1,N/A
Vendedores,TOPCABLE S.A.,Guayaquil,1,N/A
Ejecutiva de ventas,INNOFARM,Quito,1,N/A
Agente promotor de ventas,Optiglass,Guayaquil,1,N/A
Técnico Electromecánico,Verzosi S.A.,Guayaquil,1,N/A
Cajero Encargado de Tienda,FUSION LATINOAMERICA FUSLAT S.A,Loja,1,N/A
Auxiliar de almacén,"",Guayaquil,1,N/A
Asesor Comisionista Gestión de ventas,TAXI EASY CAR,Quito,1,N/A
Sto. Dgo. Colorados y Cuenca Vendedor de Cobertura,SERTECOMCELL,Santo Domingo,1,N/A
Jefe de Grupo Eléctrico,Naturisa S.A.,Guayaquil,1,N/A
Ejecutivo/a de ventas,Siigo del Ecuador,Guayaquil,1,N/A
Asesor comercial plus work and Travel estudiado o viajado al exterior,VIAJES Y VIAJES ESTUDIOS EN EL EXTERIOR ,Guayaquil,1,N/A
"Ingeniero/a Quimico, Industrial o Ambiental",NCH ECUADOR SA,Guayaquil,1,N/A
Agente de cobranzas,Estudio Jurídico Romero D & Asociados S.A.,Guayaquil,1,N/A
Supervisora de ventas,"",Guayaquil,1,N/A
Vendedor Centro Comercial Quito,TVENTAS,Quito,1,N/A
Ingeniero de sistemas,ITESUT,Santo Domingo,1,N/A
Cajero vendedor,PANIFICADORA AMBATO PANAMBATO CIA. LTDA,Quito,1,N/A
Operador de Telemercadeo,Restrepo Comercial Interandina,Quito,1,N/A
Asistente de Proyectos/Telecomunicaciones,"",Rumiñahui,1,N/A
Mujer Asistente Administrativa,"",Quito,1,N/A
Supervisor de cocina,HANSEL & GRETEL,Quito,1,N/A
Vendedora Corporativa,"",Guayaquil,1,N/A
Responsable del área contable. Contador General,"",Quito,1,N/A
Director(a) de Talento Humano,Óptima Asesoría Empresarial,Latacunga,1,N/A
Bodeguero,Italimentos Cía. Ltda.,Cuenca,1,N/A
Oficial de Negocios,"",Manta,1,N/A
Ejecutivo de Microcrédito,"",Latacunga,1,N/A
Asistentes Trilingues Inglés y Francés Áreas Administrativa y Marketing,CanadaSI,Quito,1,N/A
Señorita Vendedora que viva en Sangolquí,"",Quito,1,N/A
Almacen Ferretero,"",Guayaquil,1,N/A
Senior Accounting Analyst,BairesDev SA,Quito,1,N/A
