Trabajo,Empleador,Localizacion,Fecha
VENDEDOR PARA MACHALA DIVISIÓN TEXTILES,COSTURAS INTERNACIONALES,Machala,0
Analista de Transportes,Axionlog ecuador SAS,Guayaquil,0
VENDEDOR / AUTOVENTA CONSUMO MASIVO,Nestlé,Santo Domingo de los Colorados,0
Jefe de Ventas en Empresa de Seguros - Manta,Giovanny Lescano,Manta,0
Asesor Comercial,Martha Aguayo,Portoviejo,0
CAJERO/A,HILLARY RESORT,Arenillas,0
Ayudante de Bodega - Portoviejo,Telconet,Portoviejo,0
ING. CIVIL TOPOGRAFO,DELHIERRO CONS,Quito,0
ASESOR DE NEGOCIOS JUNIOR (MANTA),BANCO D-MIRO,Manta,0
PARA LA CIUDAD DE MACHALA SE CONTRATAN EJECUTIVOS COMERCIALES,TVCABLE,Machala,0
Bodeguero,Seidlaboratory Cia. Ltda.,Quito,0
VENDEDOR / AUTOVENTA CONSUMO MASIVO,Nestlé,Quevedo,0
Jefe de Marketing,Jefe Marketing,Quito,0
Pasante Seguridad Industrial Guayaquil,ECUASANITAS,Guayaquil,0
Consultor de Ventas,Veronica Espinoza,Cuenca,0
ASESOR COMERCIAL,jaime del castillo,Sangolqui,0
Ejecutivo de Negociacion,Angel Andres Mantilla Hormaza,Guayaquil,0
IMPULSADORA MANTA Y PORTOVIEJO,CARVAGU S.A.,Manta,0
ANALISTA DE COSTOS - Ciudad de Quito,KFC,Quito,0
OFICIAL DE CUMPLIMIENTO,FONDO DE CESANTIA,Guayaquil,0
TECNICO CAPILAR,JOSE SANCHEZ,Cuenca,0
ANALISTA DE COMPRAS,MILENA ROBLES,Guayaquil,0
ING. CIVIL CONSTRUCTOR VIAS Y CALLES URBANAS,DELHIERRO CONS,Quito,0
Impulsadora - Quito,D´MUJERES S.A.,Quito,0
Asistente Administrativa / Digitadora telecomunicaciones,Maria Cevallos,Guayaquil,0
Médico Veterinario/a,Katherine Chavez,Guayaquil,0
Pasante Administración,Estrategias & Mercado,Guayaquil,0
VENDEDORES DE TELECOMUNICACIONES,Maria Cevallos,Guayaquil,0
VENDEDORES/RAS,Sebastian Nunez,Quito,0
Vendedores para Cobertura Tienda a Tienda,Eduardo Villacis,Quito,0
Desarrollador Web,MagnusMas,Quito,0
VENTAS DIGITALES,PAOLA ANABELLA FARIAS ALVAREZ,Guayaquil,0
ABOGADO DE COBRANZAS,Celyasa,Cuenca,0
Líder Contable,Comercial,Guayaquil,0
DOCENTE DE MATEMATICA,MARITZA OCAMPO,Loja,0
Vendedores para centros comerciales (Manta),GLOW BEAUTY BAR,Manta,0
DOCENTES PARA BÁSICA ELEMENTAL MAESTRA DE GRADO,Tareas dirigidas y acomoanamiento academico,Quito,0
Arquitecto & Desarrollador de Soluciones SOA,Automotores y Anexos,Quito,0
Ing de Monitoreo BOC,N/A,Quito,0
Marketing Digital Nivel medio alto de ingles,N/A,Quito,0
Abogadoa Senior,N/A,Guayaquil,0
Vendedor con experiencia en consumo masivo con movilización propia,N/A,Loja,0
ASISTENTE CONTABLE,N/A,Quito,0
AGENTE AUTORIZADO,N/A,Guayaquil,0
RECAUDADOR PARA CANTON DAULE,N/A,Daule,0
"BlueCard, Empresa de Medicina Prepagada busca ASESOR COMERCIAL",N/A,Quito,0
Jefe de Logistica Experiencia indispensableDisponibilidad Horarios,N/A,Cuenca,0
ASISTENTE DE INVENTARIOS,N/A,Quito,0
Promotor/a,N/A,Guayaquil,0
MECÁNICO DE MÁQUINA SELLADORA AL VACÍO,N/A,Guayaquil,0
Analista de Comercio Exterior y Aduanas,N/A,Quito,0
TELEVENDEDORES - CONTAC CENTER,N/A,Guayaquil,0
MERCADERISTA - IMPULSADORA PARA MACHALA,N/A,Machala,0
Analista de Nómina Bilingüe,N/A,Quito,0
Psicólogo/a Clínico/a - Ambato,N/A,Ambato,0
Trabajadora Social - Ambato Urgente,N/A,Ambato,0
ADMINISTRADOR TURÍSTICO PARA LA CIUDAD DE CUENCA,N/A,Cuenca,0
Vendedor de Centro Comercial - Ambato,N/A,Ambato,0
JEFE DE MANTENIMIENTO,N/A,Cuenca,0
EJECUTIVO COMERCIAL ONLINE,N/A,Guayaquil,0
Trabajo Social,N/A,Guayaquil,0
LIDER DE CALIDAD - CALL CENTER,N/A,Guayaquil,0
"ASISTENTE DE SUSCRIPCIÓN, QUITO - COPIA",N/A,Quito,0
Técnico de Mantenimiento de Instalaciones Centralizadas GLP (GUAYAQUIL),N/A,Guayaquil,0
Bodeguero,N/A,Guayaquil,0
Multinacional busca Desarrollador Senior,N/A,Guayaquil,0
Jefe de Bodega,N/A,Quito,0
CHOFER LICENCIA TIPO D,N/A,Quito,0
"Responsable de Seguridad, Salud y Ambiente (Quito)",N/A,Quito,0
Supervisor de Instaladores de dispensadores Sanitarios,N/A,Guayaquil,0
ANALISTA CONTABLE - QUITO,N/A,Quito,0
TRABAJE DESDE CASA,GRUPO JMC E.I.R.L.,Guayas,0
Técnico Comercial (GUAYAQUIL),N/A,Guayaquil,0
"SUSCRIPTOR, QUITO - COPIA",N/A,Quito,0
Pasante de Marketing,N/A,Quito,0
Jefe de Bodega,N/A,Cuenca,0
ASISTENTE SERVICIO AL CLIENTE Y RRHH,N/A,Quito,0
COORDINADOR DE AMBIENTE,N/A,Quito,0
Obrero de Patio (Estibadores) / QUITO,N/A,Quito,0
EJECUTIVO DE COBRANZAS,N/A,Guayaquil,0
Auxiliar Interno de pedidos a domicilio - UIO,N/A,Quito,0
OPERARIO DE PRODUCCIÓN (CORTE) - COPIA,N/A,Machachi,0
Asesor Comercial Farma,N/A,Ambato,0
Auxiliar de Visual Merchandising,N/A,Guayaquil,0
EMPRESA DE SERVICIOS BUSCA TECNICO CON EXPERIENCIA EN USO DE PULIDORAS O AMOLADORAS,GONZALO LOPEZ,Ecuador,0
Equipamiento de carpintería en vivienda,Maderas Carpinteria,Nobol,0
ELÉCTRICO DE PLANTA,Grupo Superior SA,Ecuador,0
Inspector de Calidad,Indurama,Cuenca,1
Recaudador Motorizado (GYE),Casa Del Ruliman,Guayaquil,1
Gerente de Cuenta Canal Distribución,Cargill,Machala,1
DESARROLLADOR ESTRATÉGICO TARJETA DE CRÉDITO,Claro,Guayaquil,1
Inspector de Calidad,Indurama,Cuenca,1
ASESOR COMERCIAL SANTO DOMINGO,ChevyPlan,Santo Domingo de los Colorados,1
AGENTE DE SERVICIO,Claro,Guayaquil,1
PASANTE DE CREDITO Y COBRANZAS,Sika,Guayaquil,1
Gerente de Cuenta Canal Distribución,Cargill,Machala,1
Oficial de Crédito y Caja para la ciudad de La Libertad,CrecosCorp,La Libertad,1
Gerente de Cuenta Canal Distribución,Cargill,Machala,1
PLANIFICADOR DE PRODUCCIÓN UIO,Claro,Quito,1
Ayudante de Instalación Masiva,PUNTONET S.A.,Guayaquil,1
INGENIERO ARQUITECTO EN SEGURIDAD DE REDES,Telconet,Guayaquil,1
Vendedores de Cobertura TAT,Industrias Ales,Manta,1
Vaccines SBA,Pfizer,Quito,1
ASESOR COMERCIAL Y VENTAS QUITO,Claro,Quito,1
Jefe de Consola,Deloitte,Guayaquil,1
ASESOR TELEFÓNICO / TELETRABAJO,Talento Humano SA,Quito,1
PASANTE DE LABORATORIO,Sika,Guayaquil,1
PASANTE DE COMUNICACIÓN,Claro,Quito,1
CONSULTOR SENIOR COMERCIAL Y DESARROLLO DE NEGOCIOS,Claro,Quito,1
EC - Pasante Servicios Digitales,Telefónica,Quito,1
ANALISTA DE NÓMINA DE GUAYAQUIL,Serinse S.A.,Ecuador,1
